term_id,term_str,n,stop
0,the,58763,1
1,and,51839,1
2,of,34239,1
3,to,13646,1
4,that,13498,1
5,in,12682,1
6,he,10595,1
7,unto,9188,0
8,for,9108,1
9,shall,9052,0
10,i,8850,1
11,a,8786,1
12,his,8105,1
13,they,7565,1
14,is,7142,1
15,jehovah,6709,0
16,him,6545,1
17,not,6529,1
18,be,6410,1
19,them,6342,1
20,it,6117,1
21,with,5954,1
22,all,5555,1
23,thou,5488,0
24,thy,4916,0
25,my,4474,1
26,was,4450,1
27,will,4094,1
28,me,4065,1
29,god,4044,0
30,ye,4008,0
31,but,3980,1
32,said,3906,0
33,their,3872,1
34,from,3826,1
35,thee,3790,0
36,have,3657,1
37,as,3594,1
38,are,3212,1
39,which,2948,1
40,upon,2761,0
41,out,2728,1
42,were,2723,1
43,this,2695,1
44,when,2636,1
45,you,2545,1
46,israel,2542,0
47,man,2529,0
48,up,2471,1
49,by,2403,1
50,there,2356,1
51,son,2337,0
52,hath,2317,0
53,king,2268,0
54,on,2137,1
55,one,2130,0
56,came,2073,0
57,house,1929,0
58,into,1915,1
59,come,1897,0
60,had,1853,1
61,we,1840,1
62,her,1830,1
63,people,1818,0
64,then,1791,1
65,your,1771,1
66,before,1748,1
67,children,1744,0
68,land,1741,0
69,so,1705,1
70,day,1664,0
71,men,1649,0
72,against,1602,1
73,shalt,1592,0
74,if,1585,1
75,at,1579,1
76,who,1516,1
77,also,1515,0
78,let,1502,0
79,no,1483,1
80,go,1460,0
81,even,1452,0
82,made,1450,0
83,now,1444,1
84,us,1434,0
85,hand,1434,0
86,saying,1420,0
87,went,1382,0
88,lord,1350,0
89,behold,1341,0
90,saith,1317,0
91,do,1310,1
92,these,1255,1
93,because,1173,1
94,our,1172,1
95,sons,1168,0
96,things,1157,0
97,every,1154,0
98,down,1146,1
99,therefore,1144,0
100,or,1116,1
101,after,1098,1
102,make,1088,0
103,may,1087,0
104,say,1077,0
105,david,1072,0
106,over,1052,1
107,o,1027,1
108,an,1026,1
109,forth,1013,0
110,thereof,1010,0
111,she,1007,1
112,what,985,1
113,hast,984,0
114,away,976,0
115,did,975,1
116,put,961,0
117,earth,947,0
118,father,942,0
119,great,934,0
120,name,934,0
121,give,930,0
122,jesus,919,0
123,am,900,1
124,take,875,0
125,days,875,0
126,pass,868,0
127,heart,859,0
128,city,848,0
129,moses,846,0
130,two,838,0
131,according,829,0
132,among,827,0
133,brought,823,0
134,judah,817,0
135,know,810,0
136,jerusalem,796,0
137,set,794,0
138,neither,787,0
139,whom,761,1
140,took,748,0
141,good,731,0
142,any,726,1
143,word,724,0
144,nor,718,1
145,thus,711,0
146,like,704,0
147,bring,700,0
148,should,694,1
149,fathers,687,0
150,place,672,0
151,way,670,0
152,more,660,1
153,sent,658,0
154,about,656,1
155,yet,632,0
156,eat,628,0
157,evil,628,0
158,heard,620,0
159,spake,619,0
160,egypt,618,0
161,holy,617,0
162,called,609,0
163,kings,602,0
164,own,591,1
165,hundred,584,0
166,spirit,577,0
167,time,575,0
168,through,573,1
169,again,569,1
170,thine,564,0
171,saw,562,0
172,brethren,560,0
173,words,553,0
174,how,551,1
175,see,548,0
176,many,548,0
177,fire,545,0
178,done,543,0
179,himself,541,1
180,years,539,0
181,heaven,530,0
182,eyes,527,0
183,off,523,1
184,christ,518,0
185,voice,515,0
186,thousand,512,0
187,hear,512,0
188,speak,503,0
189,art,500,0
190,priest,497,0
191,mine,485,0
192,servant,485,0
193,gave,484,0
194,three,482,0
195,cast,481,0
196,life,480,0
197,been,480,1
198,together,477,0
199,given,474,0
200,servants,472,0
201,nations,471,0
202,than,464,1
203,seven,463,0
204,answered,463,0
205,would,463,0
206,its,456,1
207,yea,455,0
208,law,449,0
209,soul,446,0
210,blood,441,0
211,ever,440,0
212,cities,435,0
213,priests,435,0
214,work,434,0
215,glory,433,0
216,old,431,0
217,hands,424,0
218,another,422,0
219,sword,422,0
220,mouth,422,0
221,flesh,420,0
222,face,417,0
223,commanded,416,0
224,found,415,0
225,themselves,410,1
226,gold,407,0
227,without,405,0
228,might,400,0
229,midst,400,0
230,death,399,0
231,high,394,0
232,wife,392,0
233,water,390,0
234,under,388,1
235,fear,388,0
236,saul,387,0
237,other,384,1
238,head,384,0
239,sea,382,0
240,altar,377,0
241,thing,377,0
242,first,375,0
243,side,375,0
244,where,374,1
245,until,373,1
246,year,373,0
247,those,373,1
248,right,370,0
249,bread,365,0
250,brother,357,0
251,jacob,356,0
252,left,355,0
253,peace,354,0
254,cause,349,0
255,none,349,0
256,round,347,0
257,woman,347,0
258,five,345,0
259,keep,343,0
260,dwell,339,0
261,dead,337,0
262,kingdom,336,0
263,love,335,0
264,end,335,0
265,toward,334,0
266,concerning,325,0
267,aaron,324,0
268,sin,320,0
269,cometh,319,0
270,four,319,0
271,taken,319,0
272,chief,319,0
273,wherefore,318,0
274,silver,317,0
275,hosts,317,0
276,righteousness,315,0
277,pray,313,0
278,field,311,0
279,cut,311,0
280,sight,310,0
281,daughter,310,0
282,stood,310,0
283,covenant,308,0
284,wilderness,306,0
285,wicked,304,0
286,drink,302,0
287,blessed,301,0
288,whose,301,0
289,die,300,0
290,both,300,1
291,turn,300,0
292,turned,295,0
293,young,294,0
294,spoken,293,0
295,laid,293,0
296,being,291,1
297,waters,289,0
298,righteous,289,0
299,twenty,287,0
300,mighty,286,0
301,night,285,0
302,solomon,284,0
303,stand,283,0
304,babylon,282,0
305,surely,282,0
306,only,282,1
307,rest,282,0
308,tent,279,0
309,seed,275,0
310,gate,274,0
311,deliver,272,0
312,iniquity,272,0
313,return,270,0
314,delivered,270,0
315,wilt,269,0
316,why,269,1
317,same,268,1
318,having,268,1
319,princes,268,0
320,written,267,0
321,much,266,0
322,gods,265,0
323,world,264,0
324,light,263,0
325,told,261,0
326,very,258,1
327,levites,258,0
328,whole,257,0
329,feet,257,0
330,gathered,256,0
331,seen,256,0
332,jews,255,0
333,save,254,0
334,daughters,253,0
335,lay,253,0
336,smote,253,0
337,multitude,253,0
338,become,252,0
339,live,251,0
340,full,251,0
341,month,251,0
342,philistines,250,0
343,ten,250,0
344,faith,246,0
345,send,246,0
346,anger,245,0
347,wise,244,0
348,wrath,242,0
349,while,241,1
350,seek,240,0
351,prophets,239,0
352,little,239,0
353,near,238,0
354,peoples,238,0
355,disciples,238,0
356,prophet,237,0
357,power,237,0
358,truth,235,0
359,houses,235,0
360,destroy,234,0
361,mother,234,0
362,fell,234,0
363,works,234,0
364,dwelt,232,0
365,therein,231,0
366,bear,230,0
367,offer,230,0
368,long,230,0
369,enemies,230,0
370,well,230,0
371,morning,230,0
372,inheritance,230,0
373,strong,229,0
374,can,228,1
375,wisdom,228,0
376,ark,228,0
377,abraham,228,0
378,fall,226,0
379,pharaoh,225,0
380,joseph,224,0
381,begat,224,0
382,war,223,0
383,died,223,0
384,such,223,1
385,between,222,1
386,nothing,219,0
387,wine,219,0
388,joshua,219,0
389,walk,218,0
390,border,217,0
391,back,216,0
392,cubits,214,0
393,though,214,0
394,thyself,212,0
395,ground,212,0
396,unclean,210,0
397,part,210,0
398,tribe,210,0
399,known,210,0
400,bare,210,0
401,gone,209,0
402,praise,209,0
403,burntoffering,209,0
404,fruit,208,0
405,oil,208,0
406,above,207,1
407,some,206,1
408,mount,205,0
409,lest,204,0
410,hold,204,0
411,psalm,202,0
412,heavens,202,0
413,doth,202,0
414,yourselves,200,1
415,six,200,0
416,places,200,0
417,manner,199,0
418,strength,199,0
419,tell,199,0
420,body,199,0
421,stone,198,0
422,within,197,0
423,call,197,0
424,jordan,196,0
425,inhabitants,196,0
426,serve,195,0
427,sheep,193,0
428,show,193,0
429,temple,193,0
430,ways,192,0
431,judge,192,0
432,child,190,0
433,didst,189,0
434,twelve,188,0
435,angel,188,0
436,returned,187,0
437,far,186,0
438,women,186,0
439,second,184,0
440,elders,184,0
441,wherein,183,0
442,poor,182,0
443,throne,182,0
444,began,181,0
445,third,181,0
446,judgment,180,0
447,broken,180,0
448,rejoice,179,0
449,sacrifice,179,0
450,book,178,0
451,number,178,0
452,cry,177,0
453,host,177,0
454,knowledge,177,0
455,ephraim,176,0
456,mountains,175,0
457,cannot,175,0
458,commandment,175,0
459,cried,175,0
460,thirty,174,0
461,look,174,0
462,wall,173,0
463,living,173,0
464,built,173,0
465,certain,173,0
466,sat,173,0
467,families,171,0
468,understanding,171,0
469,moab,171,0
470,joy,170,0
471,passed,170,0
472,able,170,0
473,receive,169,0
474,whether,169,0
475,here,168,1
476,shame,168,0
477,enter,168,0
478,witness,168,0
479,knew,167,0
480,reigned,167,0
481,new,167,0
482,lovingkindness,166,0
483,door,166,0
484,arose,166,0
485,slain,165,0
486,whosoever,165,0
487,darkness,165,0
488,afraid,164,0
489,benjamin,164,0
490,hearken,163,0
491,salvation,163,0
492,reign,163,0
493,filled,161,0
494,battle,161,0
