term_id,term_str,n,stop
0,the,307288,1
1,of,192201,1
2,and,136730,1
3,to,135849,1
4,in,84433,1
5,a,66357,1
6,that,60383,1
7,is,40666,1
8,for,39468,1
9,be,38251,1
10,it,37137,1
11,we,36116,1
12,our,35519,1
13,i,33959,1
14,have,30577,1
15,this,29204,1
16,by,28573,1
17,as,26860,1
18,with,25570,1
19,not,22475,1
20,which,22382,1
21,are,22210,1
22,will,21595,1
23,on,21269,1
24,has,17406,1
25,all,17092,1
26,their,16931,1
27,been,16503,1
28,or,16313,1
29,from,15978,1
30,but,15766,1
31,you,15617,1
32,they,15061,1
33,was,14661,1
34,at,14406,1
35,states,13900,0
36,its,13350,1
37,an,12544,1
38,government,12439,0
39,people,12313,0
40,,11516,0
41,united,11047,0
42,can,10662,1
43,so,10046,1
44,would,9946,0
45,were,9647,1
46,more,9526,1
47,who,9500,1
48,these,9345,1
49,no,9240,1
50,them,8931,1
51,there,8774,1
52,should,8746,1
53,if,8564,1
54,any,8531,1
55,now,8305,1
56,other,8220,1
57,congress,8155,0
58,one,7769,0
59,do,7750,1
60,country,7721,0
61,such,7686,1
62,those,7597,1
63,my,7471,1
64,upon,7415,0
65,than,7371,1
66,president,7359,0
67,us,7245,0
68,great,7013,0
69,may,6977,0
70,time,6752,0
71,must,6701,0
72,he,6667,1
73,american,6629,0
74,what,6609,1
75,his,6586,1
76,new,6369,0
77,had,6349,1
78,world,6240,0
79,when,6195,1
80,made,6098,0
81,every,5718,0
82,under,5633,1
83,war,5632,0
84,year,5489,0
85,only,5464,1
86,years,5354,0
87,some,5313,1
88,your,5112,1
89,public,5088,0
90,very,5076,1
91,state,4821,0
92,about,4725,1
93,last,4718,0
94,into,4710,1
95,peace,4710,0
96,make,4591,0
97,most,4568,1
98,shall,4521,0
99,many,4417,0
100,america,4379,0
101,own,4368,1
102,out,4297,1
103,nations,4265,0
104,well,4235,0
105,power,4203,0
106,law,4172,0
107,nation,4156,0
108,just,4122,1
109,me,4068,1
110,because,4021,1
111,work,3986,0
112,also,3926,0
113,first,3853,0
114,mr,3849,0
115,know,3844,0
116,over,3658,1
117,without,3639,0
118,against,3608,1
119,between,3603,1
120,national,3596,0
121,right,3591,0
122,up,3577,1
123,think,3576,0
124,good,3554,0
125,before,3507,1
126,act,3493,0
127,much,3434,0
128,men,3333,0
129,could,3326,0
130,same,3268,1
131,two,3260,0
132,present,3212,0
133,part,3206,0
134,general,3168,0
135,want,3083,0
136,citizens,3069,0
137,here,3065,1
138,said,3064,0
139,way,2884,0
140,where,2881,1
141,through,2878,1
142,going,2874,0
143,foreign,2737,0
144,free,2727,0
145,system,2721,0
146,say,2683,0
147,necessary,2681,0
148,both,2681,1
149,during,2670,1
150,like,2637,0
151,then,2627,1
152,take,2604,0
153,laws,2593,0
154,service,2590,0
155,believe,2587,0
156,am,2578,1
157,constitution,2567,0
158,union,2565,0
159,even,2558,0
160,americans,2539,0
161,military,2529,0
162,today,2521,0
163,day,2516,0
164,policy,2510,0
165,after,2499,1
166,being,2495,1
167,question,2476,0
168,applause,2436,0
169,future,2428,0
170,within,2422,0
171,while,2421,1
172,each,2402,1
173,federal,2388,0
174,never,2384,0
175,long,2383,0
176,subject,2375,0
177,important,2366,0
178,give,2351,0
179,rights,2348,0
180,come,2321,0
181,secretary,2300,0
182,interest,2282,0
183,need,2268,0
184,life,2249,0
185,business,2242,0
186,action,2232,0
187,still,2229,0
188,hope,2213,0
189,duty,2205,0
190,let,2200,0
191,freedom,2193,0
192,security,2188,0
193,far,2165,0
194,treaty,2160,0
195,get,2143,0
196,department,2137,0
197,done,2134,0
198,see,2119,0
199,help,2119,0
200,how,2098,1
201,go,2071,0
202,means,2068,0
203,force,2056,0
204,countries,2037,0
205,better,2030,0
206,since,2016,0
207,did,2014,1
208,him,2012,1
209,again,1976,1
210,her,1967,1
211,too,1964,1
212,bill,1964,0
213,might,1961,0
214,increase,1954,0
215,purpose,1945,0
216,ever,1911,0
217,dont,1911,0
218,place,1902,0
219,interests,1901,0
220,use,1888,0
221,best,1885,0
222,yet,1877,0
223,together,1868,0
224,trade,1864,0
225,support,1863,0
226,legislation,1851,0
227,whole,1849,0
228,administration,1846,0
229,progress,1822,0
230,thats,1808,0
231,thank,1798,0
232,order,1785,0
233,man,1775,0
234,already,1759,0
235,less,1754,0
236,history,1752,0
237,economic,1745,0
238,whether,1742,0
239,house,1735,0
240,number,1733,0
241,among,1730,0
242,political,1729,0
243,money,1726,0
244,given,1725,0
245,tax,1722,0
246,course,1714,0
247,treasury,1712,0
248,another,1711,0
249,large,1711,0
250,end,1701,0
251,past,1701,0
252,authority,1683,0
253,home,1680,0
254,report,1678,0
255,fact,1677,0
256,down,1668,1
257,powers,1666,0
258,justice,1657,0
259,back,1633,0
260,senate,1627,0
261,attention,1613,0
262,things,1601,0
263,possible,1598,0
264,commerce,1582,0
265,continue,1580,0
266,others,1564,0
267,thus,1558,0
268,control,1558,0
269,taken,1549,0
270,land,1544,0
271,themselves,1544,1
272,further,1538,1
273,executive,1537,0
274,weve,1524,0
275,next,1509,0
276,put,1500,0
277,economy,1494,0
278,meet,1489,0
279,ago,1488,0
280,territory,1486,0
281,children,1485,0
282,however,1484,0
283,relations,1484,0
284,always,1478,0
285,duties,1473,0
286,south,1468,0
287,governments,1466,0
288,forces,1465,0
289,few,1461,1
290,officers,1460,0
291,office,1458,0
292,three,1457,0
293,care,1450,0
294,full,1443,0
295,consideration,1442,0
296,therefore,1438,0
297,change,1433,0
298,making,1432,0
299,tonight,1419,0
300,does,1397,1
301,having,1381,1
302,why,1376,1
303,amount,1374,0
304,cannot,1368,0
305,become,1366,0
306,spirit,1361,0
307,period,1359,0
308,certain,1356,0
309,several,1351,0
310,effect,1345,0
311,proper,1343,0
312,high,1338,0
313,toward,1337,0
314,common,1324,0
315,until,1319,1
316,im,1309,0
317,view,1306,0
318,case,1304,0
319,condition,1301,0
320,human,1300,0
321,ask,1298,0
322,matter,1298,0
323,commission,1295,0
324,mexico,1293,0
325,army,1290,0
326,international,1287,0
327,result,1286,0
328,labor,1270,0
